,op_name,start_date,end_date,location_1,location_2,location_3,location_4
0,Operation Abilene,1966-04-07,1966-04-10,Phuoc Tuy,,,
1,Operation Adairsville,1968-01-31,1968-03-08,Bien Hoa,,,
2,Operation Adams,1966-10-26,1967-03-30,Phu Yen,,,
3,Operation Ahina,1967-05-13,1967-05-18,Binh Duong,Tay Ninh,,
4,Operation Aiea,1966-08-08,1966-09-01,Hau Nghia,,,
5,Operation Akron III,1967-09-26,1967-10-21,Bien Hoa,,,
6,Operation Akron,1967-06-09,1967-06-29,Phuoc Tuy,Bien Hoa,,
7,Operation Ala Moana,1966-12-01,1967-05-14,Binh Duong,Hau Nghai,Tay Ninh,
8,Operation Allons,1968-04-22,1968-04-26,Dong Nai,,,
9,Operation Altoona,1968-01-13,1968-01-23,Bien Hoa,,,
10,Operation Arc Light,1965-06-18,1973-08-14,South Vietnam,,,
11,Operation Arkansas City,1967-09-18,1967-10-09,Phuoc Tuy,,,
12,Operation Ashland,1967-05-18,1967-06-08,Bien Hoa,Long Khanh,,
13,Operation Atlanta,1966-10-20,1966-12-08,Long Khanh,Phuoc Tuy,Hau Nghia,Binh Duong
14,Operation Atlanta,1967-12-23,1967-12-23,Binh Duong,Hau Nghia,,
15,Operation Atlas Wedge,1969-03-18,1969-04-02,Ho Chi Minh City,,,
16,Operation Attleboro,1966-09-14,1966-11-24,Tay Ninh,Binh Long,Binh Duong,
17,Operation Aurora II,1966-07-17,1966-08-03,Phuong Lam,,,
18,Operation Austin VI,1966-05-01,1966-05-18,Quang Duc,Phuoc Long,,
19,Operation Badger Catch,1968-01-23,1968-01-26,Quang Tri,,,
20,Operation Beau Diddley,1967-04-22,1968-04-22,Unknown,,,
21,Operation Beaver Cage,1967-04-30,1967-05-12,Quang Nam,Quang Tin,,
22,Operation Benton,1967-08-12,1967-09-01,Quang Tin,,,
23,Operation Big Spring,1967-01-29,1967-02-16,War Zone D,,,
24,Operation Billings,1967-06-12,1967-06-26,Binh Long,Phuoc Long,Binh Duong,War Zone D
25,Operation Birmingham,1966-04-24,1966-05-17,Tay Ninh,War Zone C,,
26,Operation Bismark,1966-11-25,1966-12-09,Binh Duong,,,
27,Operation Black Horse,1966-03-01,1966-03-05,Binh Dinh,,,
28,Operation Blackjack 25,1967-04-15,1967-05-26,Combat Tactical Zone II,,,
29,Operation Blue Jay,1966-08-30,1966-09-29,Combat Tactical Zone III,Tay Ninh Province,,
30,Operation Blue Marlin,1965-11-10,1965-11-12,Quang Tin,,,
31,Operation Bluefield,1967-06-05,1967-06-09,Unknown,,,
32,Operation Bolling,1967-09-19,1969-01-31,Phu Yen,,,
33,Operation Bremerton,1966-10-25,1966-11-28,Phuoc Tuy,,,
34,Operation Buckskin,1966-01-12,1966-01-31,Binh Duong,Hau Nghai,,
35,Operation Buffalo,1967-07-02,1967-07-14,Quang Tri,,,
36,Operation Bull Run I,1969-08-18,1969-09-24,Phuoc Long,Combat Tactical Zone III,,
37,Operation Bull Run II,1970-01-19,1907-03-15,Phuoc Long,Combat Tactical Zone III,,
38,Operation Bullseye V,1967-01-27,1967-01-31,Binh Dinh,,,
39,Operation Burlington Trail,1968-04-08,1968-11-11,Combat Tactical Zone I,,,
40,Operation Burtrand,1969-11-14,1969-11-17,Nha Trang,,,
41,Operation Byrd,1966-08-26,1968-01-20,Binh Thuan,Lam Dong,Ninh Thuan,Tuyen Duc
42,Operation Carentan II,1968-04-01,1968-05-17,Quang Tri,Thua Thien,,
43,Operation Cedar Falls,1967-01-08,1967-01-27,Binh Duong,,,
44,Operation Checkerboard,1965-10-01,1965-12-16,Binh Duong,Nam Phan,,
45,Operation Circle Pines,1966-03-28,1966-04-05,Hau Nghia,,,
46,Operation Cleansweep I,1968-07-20,1968-07-20,Gia Lai,,,
47,Operation Cliff Dweller IV,1970-01-04,1970-01-11,Tay Ninh,,,
48,Operation Cliff Dweller,1969-10-21,1969-10-24,Tay Ninh,,,
49,Operation Clifton Corral,1968-04-15,1968-04-26,Dong Nai,,,
50,Operation Cobra,1965-10-09,1965-11-01,Binh Dinh,,,
51,Operation Cochise,1968-03-30,1969-01-31,Binh Dinh,Quang Ngai,,
52,Operation Colby,1967-01-19,1967-01-27,Unknown,,,
53,Operation Colorado,1966-08-05,1966-08-22,Quang Nam,Quang Tin,,
54,Operation Comeback Ridge,1970-08-13,1970-08-20,Thua Thien,,,
55,Operation Cook,1967-09-02,1967-09-10,Quang Ngai,,,
56,Operation Coronado II,1967-07-07,1967-08-03,Dinh Tuong,,,
57,Operation Coronado V,1967-09-12,1967-10-10,Kien Hoa,Dinh Tuong,,
58,Operation Coronado X,1968-01-18,1968-02-13,Kien Hoa,Dinh Tuong,Vinh Long,
59,Operation Crazy Horse,1966-05-16,1966-06-05,Binh Dinh,,,
60,Operation Crimp,1966-01-07,1966-01-14,Binh Duong,Haiu Nghia,,
61,Operation Cumberland Thunder,1969-08-18,1968-09-28,Thua Thien,,,
62,Operation Dagger Thrust,1965-09-01,1956-11-01,Binh Dinh,,,
63,Operation Dallas,1967-05-17,1967-05-26,War Zone D,,,
64,Operation Dan Tam 81,1966-11-16,1967-01-12,Long Khanh,Binh Tuy,,
65,Operation Darby Talon,1970-03-12,1970-04-21,Phy Yen,,,
66,Operation Davy Crockett,1966-05-04,1966-05-27,Binh Dinh,,,
67,Operation Dazzlem,1966-10-01,1966-10-01,Binh Dinh,,,
68,Operation Deckhouse III,1966-08-15,1966-08-30,Binh Tuy,,,
69,Operation Deckhouse VI,1967-02-16,1967-03-03,Quang Ngai,,,
70,Operation Delaware,1968-04-18,1968-05-17,Quang Tri,Thua Thien,,
71,Operation Denver,1966-04-09,1966-04-25,Phuoc Long,,,
72,Operation DeSoto,1967-01-26,1967-04-07,Quang Ngai,,,
73,Operation Dewey Canyon,1969-01-22,1969-03-18,Thua Thien,,,
74,Operation Dexter,1966-05-04,1966-05-06,Phuoc Thanh,,,
75,Operation Diamond Head,1967-05-19,1967-12-07,Tay Ninh,Binh Duong,,
76,Operation Double Eagle,1966-01-28,1966-01-28,Quang Tin,Quang Ngai,,
77,Operation Duck,1966-10-18,1967-02-01,Phuoc Tuy,,,
78,Operation Eagles Claw,1966-02-16,1966-02-27,Binh Dinh,,,
79,Operation El Dorado,1966-08-12,1966-08-14,Bihn Duong,,,
80,Operation El Paso I,1966-05-19,1966-05-26,Binh Long,,,
81,Operation El Paso II,1966-06-02,1966-07-13,Binh Long,Phuoc Long,,
82,Operation Enterprise,1967-02-13,1968-03-11,Long An,,,
83,Operation Entrě,1966-02-12,1966-02-16,Bien Hoa,,,
84,Operation Fairfax,1966-11-30,1967-12-14,Gia Dinh,Long An,,
85,Operation Fargo,1966-06-12,1966-06-14,Hau Nghia,,,
86,Operation Fargo,1967-12-21,1968-01-21,Binh Long,Tay Ninh,,
87,Operation Farragut,1967-01-26,1967-03-23,Binh Thuan,Ninh Thuan,Lam Dong,
88,Operation Fillmore,1966-03-25,1966-07-21,Phu Yen,,,
89,Operation Fitchburg,1966-11-25,1967-04-08,Tay Ninh,,,
90,Operation Fort Smith,1966-06-03,1966-07-03,Hau Nghia,,,
91,Operation Francis Marion,1967-04-05,1967-10-12,Gia Lai,Kon Tum,,
92,Operation Frequent Wind,1975-05-04,1975-05-04,Ho Chi Minh City,,,
93,Operation Gadsden,1967-02-01,1967-02-20,War Zone C,Tay Ninh,,
