op_name,start_date,end_date,location_1,location_2,location_3,location_4
"Operation Abilene, 1966",19660407,19660410,Phuoc Tuy,,,
"Operation Adairsville, 1968",19680131,19680308,Bien Hoa,,,
"Operation Adams, 1966-1967",19661026,19670330,Phu Yen,,,
"Operation Ahina, 1967",19670513,19670518,Binh Duong,Tay Ninh,,
"Operation Aiea, 1966",19660808,19660901,Hau Nghia,,,
"Operation Akron III, 1967",19670926,19671021,Bien Hoa,,,
"Operation Akron, 1967",19670609,19670629,Phuoc Tuy,Bien Hoa,,
"Operation Ala Moana, 1966-1967",19661201,19670514,Binh Duong,Hau Nghai,Tay Ninh,
"Operation Allons, 1968",19680422,19680426,Dong Nai,,,
"Operation Altoona, 1968",19680113,19680123,Bien Hoa,,,
"Operation Arc Light, 1965-1973",19650618,19730814,South Vietnam,,,
"Operation Arkansas City, 1967",19670918,19671009,Phuoc Tuy,,,
"Operation Ashland, 1967",19670518,19670608,Bien Hoa,Long Khanh,,
"Operation Atlanta, 1966",19661020,19661208,Long Khanh,Phuoc Tuy,Hau Nghia,Binh Duong
"Operation Atlanta, 1967",19671223,19671223,Binh Duong,Hau Nghia,,
"Operation Atlas Wedge, 1969",19690318,19690402,Ho Chi Minh City,,,
"Operation Attleboro, 1966",19660914,19661124,Tay Ninh,Binh Long,Binh Duong,
"Operation Aurora II, 1966",19660717,19660803,Phuong Lam,,,
"Operation Austin VI, 1966",19660501,19660518,Quang Duc,Phuoc Long,,
"Operation Badger Catch, 1968",19680123,19680126,Quang Tri,,,
"Operation Beau Diddley, 1967",19670422,19680422,Unknown,,,
"Operation Beaver Cage, 1967",19670430,19670512,Quang Nam,Quang Tin,,
"Operation Benton, 1967",19670812,19670901,Quang Tin,,,
"Operation Big Spring, 1967",19670129,19670216,War Zone D,,,
"Operation Billings, 1967",19670612,19670626,Binh Long,Phuoc Long,Binh Duong,War Zone D
"Operation Birmingham, 1966",19660424,19660517,Tay Ninh,War Zone C,,
"Operation Bismark, 1966",19661125,19661209,Binh Duong,,,
"Operation Black Horse, 1966",19660301,19660305,Binh Dinh,,,
"Operation Blackjack 25, 1967",19670415,19670526,Combat Tactical Zone II,,,
"Operation Blue Jay, 1966",19660830,19660929,Combat Tactical Zone III,Tay Ninh Province,,
"Operation Blue Marlin, 1965",19651110,19651112,Quang Tin,,,
"Operation Bluefield, 1967",19670605,19670609,Unknown,,,
"Operation Bolling, 1967-1969",19670919,19690131,Phu Yen,,,
"Operation Bremerton, 1966",19661025,19661128,Phuoc Tuy,,,
"Operation Buckskin, 1966",19660112,19660131,Binh Duong,Hau Nghai,,
"Operation Buffalo, 1967",19670702,19670714,Quang Tri,,,
"Operation Bull Run I, 1969",19690818,19690924,Phuoc Long,Combat Tactical Zone III,,
"Operation Bull Run II, 1970",19700119,19070315,Phuoc Long,Combat Tactical Zone III,,
"Operation Bullseye V, 1967",19670127,19670131,Binh Dinh,,,
"Operation Burlington Trail, 1968",19680408,19681111,Combat Tactical Zone I,,,
"Operation Burtrand, 1969",19691114,19691117,Nha Trang,,,
